"m";"condition";"task";"participant";"z";"X";"y"
"apr";"hd";"crazy";"Co1";4;4;4
"aug";"hd";"crazy";"Co1";4;4;4
"dec";"hd";"crazy";"Co1";4;4;4
"feb";"hd";"crazy";"Co1";4;4;4
"jan";"hd";"crazy";"Co1";3;3;3
"jul";"hd";"crazy";"Co1";3;3;3
"jun";"hd";"crazy";"Co1";4;4;4
"mar";"hd";"crazy";"Co1";4;4;4
"may";"hd";"crazy";"Co1";4;4;4
"nov";"hd";"crazy";"Co1";3;3;3
"oct";"hd";"crazy";"Co1";2;2;2
"sep";"hd";"crazy";"Co1";3;3;3
"apr";"str";"crazy";"Co1";4;4;4
"aug";"str";"crazy";"Co1";4;4;4
"dec";"str";"crazy";"Co1";4;4;4
"feb";"str";"crazy";"Co1";3;3;3
"jan";"str";"crazy";"Co1";4;4;4
"jul";"str";"crazy";"Co1";4;4;4
"jun";"str";"crazy";"Co1";4;4;4
"mar";"str";"crazy";"Co1";4;4;4
"may";"str";"crazy";"Co1";4;4;4
"nov";"str";"crazy";"Co1";4;4;4
"oct";"str";"crazy";"Co1";3;3;3
"sep";"str";"crazy";"Co1";3;3;3
"apr";"tr";"crazy";"Co1";4;4;4
"aug";"tr";"crazy";"Co1";3;3;3
"dec";"tr";"crazy";"Co1";4;4;4
"feb";"tr";"crazy";"Co1";4;4;4
"jan";"tr";"crazy";"Co1";3;3;3
"jul";"tr";"crazy";"Co1";4;4;4
"jun";"tr";"crazy";"Co1";4;4;4
"mar";"tr";"crazy";"Co1";4;4;4
"may";"tr";"crazy";"Co1";3;3;3
"nov";"tr";"crazy";"Co1";4;4;4
"oct";"tr";"crazy";"Co1";4;4;4
"sep";"tr";"crazy";"Co1";4;4;4
"apr";"hd";"month";"Co1";4;4;4
"aug";"hd";"month";"Co1";4;4;4
"dec";"hd";"month";"Co1";4;4;4
"feb";"hd";"month";"Co1";4;4;4
"jan";"hd";"month";"Co1";4;4;4
"jul";"hd";"month";"Co1";4;4;4
"jun";"hd";"month";"Co1";4;4;4
"mar";"hd";"month";"Co1";3;3;3
"may";"hd";"month";"Co1";4;4;4
"nov";"hd";"month";"Co1";4;4;4
"oct";"hd";"month";"Co1";3;3;3
"sep";"hd";"month";"Co1";1;1;1
"apr";"str";"month";"Co1";4;4;4
"aug";"str";"month";"Co1";4;4;4
"dec";"str";"month";"Co1";4;4;4
"feb";"str";"month";"Co1";3;3;3
"jan";"str";"month";"Co1";4;4;4
"jul";"str";"month";"Co1";4;4;4
"jun";"str";"month";"Co1";3;3;3
"mar";"str";"month";"Co1";4;4;4
"may";"str";"month";"Co1";4;4;4
"nov";"str";"month";"Co1";4;4;4
"oct";"str";"month";"Co1";4;4;4
"sep";"str";"month";"Co1";2;2;2
"apr";"tr";"month";"Co1";4;4;4
"aug";"tr";"month";"Co1";3;3;3
"dec";"tr";"month";"Co1";4;4;4
"feb";"tr";"month";"Co1";3;3;3
"jan";"tr";"month";"Co1";2;2;2
"jul";"tr";"month";"Co1";4;4;4
"jun";"tr";"month";"Co1";4;4;4
"mar";"tr";"month";"Co1";3;3;3
"may";"tr";"month";"Co1";4;4;4
"nov";"tr";"month";"Co1";4;4;4
"oct";"tr";"month";"Co1";4;4;4
"sep";"tr";"month";"Co1";2;2;2
"apr";"hd";"crazy";"Co10";4;4;4
"aug";"hd";"crazy";"Co10";4;4;4
"dec";"hd";"crazy";"Co10";4;4;4
"feb";"hd";"crazy";"Co10";4;4;4
"jan";"hd";"crazy";"Co10";4;4;4
"jul";"hd";"crazy";"Co10";4;4;4
"jun";"hd";"crazy";"Co10";4;4;4
"mar";"hd";"crazy";"Co10";4;4;4
"may";"hd";"crazy";"Co10";4;4;4
"nov";"hd";"crazy";"Co10";4;4;4
"oct";"hd";"crazy";"Co10";3;3;3
"sep";"hd";"crazy";"Co10";4;4;4
"apr";"str";"crazy";"Co10";4;4;4
"aug";"str";"crazy";"Co10";4;4;4
"dec";"str";"crazy";"Co10";4;4;4
"feb";"str";"crazy";"Co10";4;4;4
"jan";"str";"crazy";"Co10";4;4;4
"jul";"str";"crazy";"Co10";4;4;4
"jun";"str";"crazy";"Co10";4;4;4
"mar";"str";"crazy";"Co10";4;4;4
"may";"str";"crazy";"Co10";4;4;4
"nov";"str";"crazy";"Co10";4;4;4
"oct";"str";"crazy";"Co10";4;4;4
"sep";"str";"crazy";"Co10";4;4;4
"apr";"tr";"crazy";"Co10";4;4;4
"aug";"tr";"crazy";"Co10";4;4;4
"dec";"tr";"crazy";"Co10";4;4;4
"feb";"tr";"crazy";"Co10";4;4;4
"jan";"tr";"crazy";"Co10";4;4;4
"jul";"tr";"crazy";"Co10";4;4;4
"jun";"tr";"crazy";"Co10";4;4;4
"mar";"tr";"crazy";"Co10";4;4;4
"may";"tr";"crazy";"Co10";4;4;4
"nov";"tr";"crazy";"Co10";4;4;4
"oct";"tr";"crazy";"Co10";4;4;4
"sep";"tr";"crazy";"Co10";4;4;4
"apr";"hd";"month";"Co10";4;4;4
"aug";"hd";"month";"Co10";4;4;4
"dec";"hd";"month";"Co10";4;4;4
"feb";"hd";"month";"Co10";4;4;4
"jan";"hd";"month";"Co10";4;4;4
"jul";"hd";"month";"Co10";4;4;4
"jun";"hd";"month";"Co10";4;4;4
"mar";"hd";"month";"Co10";4;4;4
"may";"hd";"month";"Co10";4;4;4
"nov";"hd";"month";"Co10";4;4;4
"oct";"hd";"month";"Co10";4;4;4
"sep";"hd";"month";"Co10";4;4;4
"apr";"str";"month";"Co10";4;4;4
"aug";"str";"month";"Co10";4;4;4
"dec";"str";"month";"Co10";4;4;4
"feb";"str";"month";"Co10";4;4;4
"jan";"str";"month";"Co10";4;4;4
"jul";"str";"month";"Co10";4;4;4
"jun";"str";"month";"Co10";4;4;4
"mar";"str";"month";"Co10";4;4;4
"may";"str";"month";"Co10";4;4;4
"nov";"str";"month";"Co10";4;4;4
"oct";"str";"month";"Co10";4;4;4
"sep";"str";"month";"Co10";4;4;4
"apr";"tr";"month";"Co10";4;4;4
"aug";"tr";"month";"Co10";4;4;4
"dec";"tr";"month";"Co10";3;3;3
"feb";"tr";"month";"Co10";4;4;4
"jan";"tr";"month";"Co10";4;4;4
"jul";"tr";"month";"Co10";4;4;4
"jun";"tr";"month";"Co10";3;3;3
"mar";"tr";"month";"Co10";3;3;3
"may";"tr";"month";"Co10";4;4;4
"nov";"tr";"month";"Co10";4;4;4
"oct";"tr";"month";"Co10";4;4;4
"sep";"tr";"month";"Co10";4;4;4
"apr";"hd";"crazy";"Co2";4;4;4
"aug";"hd";"crazy";"Co2";4;4;4
"dec";"hd";"crazy";"Co2";4;4;4
"feb";"hd";"crazy";"Co2";4;4;4
"jan";"hd";"crazy";"Co2";4;4;4
"jul";"hd";"crazy";"Co2";4;4;4
"jun";"hd";"crazy";"Co2";4;4;4
"mar";"hd";"crazy";"Co2";4;4;4
"may";"hd";"crazy";"Co2";4;4;4
"nov";"hd";"crazy";"Co2";4;4;4
"oct";"hd";"crazy";"Co2";4;4;4
"sep";"hd";"crazy";"Co2";4;4;4
"apr";"str";"crazy";"Co2";4;4;4
"aug";"str";"crazy";"Co2";4;4;4
"dec";"str";"crazy";"Co2";4;4;4
"feb";"str";"crazy";"Co2";4;4;4
"jan";"str";"crazy";"Co2";4;4;4
"jul";"str";"crazy";"Co2";4;4;4
"jun";"str";"crazy";"Co2";4;4;4
"mar";"str";"crazy";"Co2";4;4;4
"may";"str";"crazy";"Co2";4;4;4
"nov";"str";"crazy";"Co2";4;4;4
"oct";"str";"crazy";"Co2";4;4;4
"sep";"str";"crazy";"Co2";4;4;4
"apr";"tr";"crazy";"Co2";3;3;3
"aug";"tr";"crazy";"Co2";4;4;4
"dec";"tr";"crazy";"Co2";3;3;3
"feb";"tr";"crazy";"Co2";4;4;4
"jan";"tr";"crazy";"Co2";4;4;4
"jul";"tr";"crazy";"Co2";4;4;4
"jun";"tr";"crazy";"Co2";4;4;4
"mar";"tr";"crazy";"Co2";4;4;4
"may";"tr";"crazy";"Co2";4;4;4
"nov";"tr";"crazy";"Co2";4;4;4
"oct";"tr";"crazy";"Co2";3;3;3
"sep";"tr";"crazy";"Co2";4;4;4
"apr";"hd";"month";"Co2";4;4;4
"aug";"hd";"month";"Co2";4;4;4
"dec";"hd";"month";"Co2";4;4;4
"feb";"hd";"month";"Co2";4;4;4
"jan";"hd";"month";"Co2";4;4;4
"jul";"hd";"month";"Co2";4;4;4
"jun";"hd";"month";"Co2";4;4;4
"mar";"hd";"month";"Co2";4;4;4
"may";"hd";"month";"Co2";4;4;4
"nov";"hd";"month";"Co2";4;4;4
"oct";"hd";"month";"Co2";4;4;4
"sep";"hd";"month";"Co2";4;4;4
"apr";"str";"month";"Co2";4;4;4
"aug";"str";"month";"Co2";4;4;4
"dec";"str";"month";"Co2";4;4;4
"feb";"str";"month";"Co2";4;4;4
"jan";"str";"month";"Co2";4;4;4
"jul";"str";"month";"Co2";4;4;4
"jun";"str";"month";"Co2";4;4;4
"mar";"str";"month";"Co2";3;3;3
"may";"str";"month";"Co2";4;4;4
"nov";"str";"month";"Co2";4;4;4
"oct";"str";"month";"Co2";4;4;4
"sep";"str";"month";"Co2";4;4;4
"apr";"tr";"month";"Co2";4;4;4
"aug";"tr";"month";"Co2";4;4;4
"dec";"tr";"month";"Co2";4;4;4
"feb";"tr";"month";"Co2";4;4;4
"jan";"tr";"month";"Co2";4;4;4
"jul";"tr";"month";"Co2";4;4;4
"jun";"tr";"month";"Co2";4;4;4
"mar";"tr";"month";"Co2";4;4;4
"may";"tr";"month";"Co2";4;4;4
"nov";"tr";"month";"Co2";4;4;4
"oct";"tr";"month";"Co2";4;4;4
"sep";"tr";"month";"Co2";4;4;4
"apr";"hd";"crazy";"Co3";4;4;4
"aug";"hd";"crazy";"Co3";4;4;4
"dec";"hd";"crazy";"Co3";4;4;4
"feb";"hd";"crazy";"Co3";4;4;4
"jan";"hd";"crazy";"Co3";4;4;4
"jul";"hd";"crazy";"Co3";4;4;4
"jun";"hd";"crazy";"Co3";4;4;4
"mar";"hd";"crazy";"Co3";4;4;4
"may";"hd";"crazy";"Co3";4;4;4
"nov";"hd";"crazy";"Co3";4;4;4
"oct";"hd";"crazy";"Co3";4;4;4
"sep";"hd";"crazy";"Co3";4;4;4
"apr";"str";"crazy";"Co3";4;4;4
"aug";"str";"crazy";"Co3";4;4;4
"dec";"str";"crazy";"Co3";4;4;4
"feb";"str";"crazy";"Co3";4;4;4
"jan";"str";"crazy";"Co3";4;4;4
"jul";"str";"crazy";"Co3";4;4;4
"jun";"str";"crazy";"Co3";4;4;4
"mar";"str";"crazy";"Co3";4;4;4
"may";"str";"crazy";"Co3";4;4;4
"nov";"str";"crazy";"Co3";4;4;4
"oct";"str";"crazy";"Co3";4;4;4
"sep";"str";"crazy";"Co3";4;4;4
"apr";"tr";"crazy";"Co3";4;4;4
"aug";"tr";"crazy";"Co3";4;4;4
"dec";"tr";"crazy";"Co3";4;4;4
"feb";"tr";"crazy";"Co3";4;4;4
"jan";"tr";"crazy";"Co3";4;4;4
"jul";"tr";"crazy";"Co3";4;4;4
"jun";"tr";"crazy";"Co3";4;4;4
"mar";"tr";"crazy";"Co3";4;4;4
"may";"tr";"crazy";"Co3";4;4;4
"nov";"tr";"crazy";"Co3";4;4;4
"oct";"tr";"crazy";"Co3";4;4;4
"sep";"tr";"crazy";"Co3";4;4;4
"apr";"hd";"month";"Co3";4;4;4
"aug";"hd";"month";"Co3";4;4;4
"dec";"hd";"month";"Co3";4;4;4
"feb";"hd";"month";"Co3";4;4;4
"jan";"hd";"month";"Co3";4;4;4
"jul";"hd";"month";"Co3";4;4;4
"jun";"hd";"month";"Co3";4;4;4
"mar";"hd";"month";"Co3";4;4;4
"may";"hd";"month";"Co3";4;4;4
"nov";"hd";"month";"Co3";4;4;4
"oct";"hd";"month";"Co3";4;4;4
"sep";"hd";"month";"Co3";4;4;4
"apr";"str";"month";"Co3";4;4;4
"aug";"str";"month";"Co3";4;4;4
"dec";"str";"month";"Co3";4;4;4
"feb";"str";"month";"Co3";4;4;4
"jan";"str";"month";"Co3";3;3;3
"jul";"str";"month";"Co3";4;4;4
"jun";"str";"month";"Co3";4;4;4
"mar";"str";"month";"Co3";4;4;4
"may";"str";"month";"Co3";4;4;4
"nov";"str";"month";"Co3";4;4;4
"oct";"str";"month";"Co3";4;4;4
"sep";"str";"month";"Co3";4;4;4
"apr";"tr";"month";"Co3";4;4;4
"aug";"tr";"month";"Co3";4;4;4
"dec";"tr";"month";"Co3";4;4;4
"feb";"tr";"month";"Co3";4;4;4
"jan";"tr";"month";"Co3";4;4;4
"jul";"tr";"month";"Co3";4;4;4
"jun";"tr";"month";"Co3";4;4;4
"mar";"tr";"month";"Co3";4;4;4
"may";"tr";"month";"Co3";4;4;4
"nov";"tr";"month";"Co3";4;4;4
"oct";"tr";"month";"Co3";4;4;4
"sep";"tr";"month";"Co3";4;4;4
"apr";"hd";"crazy";"Co4";4;4;4
"aug";"hd";"crazy";"Co4";4;4;4
"dec";"hd";"crazy";"Co4";4;4;4
"feb";"hd";"crazy";"Co4";4;4;4
"jan";"hd";"crazy";"Co4";4;4;4
"jul";"hd";"crazy";"Co4";4;4;4
"jun";"hd";"crazy";"Co4";4;4;4
"mar";"hd";"crazy";"Co4";4;4;4
"may";"hd";"crazy";"Co4";4;4;4
"nov";"hd";"crazy";"Co4";4;4;4
"oct";"hd";"crazy";"Co4";4;4;4
"sep";"hd";"crazy";"Co4";4;4;4
"apr";"str";"crazy";"Co4";4;4;4
"aug";"str";"crazy";"Co4";4;4;4
"dec";"str";"crazy";"Co4";4;4;4
"feb";"str";"crazy";"Co4";4;4;4
"jan";"str";"crazy";"Co4";4;4;4
"jul";"str";"crazy";"Co4";4;4;4
"jun";"str";"crazy";"Co4";4;4;4
"mar";"str";"crazy";"Co4";4;4;4
"may";"str";"crazy";"Co4";4;4;4
"nov";"str";"crazy";"Co4";4;4;4
"oct";"str";"crazy";"Co4";4;4;4
"sep";"str";"crazy";"Co4";4;4;4
"apr";"tr";"crazy";"Co4";4;4;4
"aug";"tr";"crazy";"Co4";4;4;4
"dec";"tr";"crazy";"Co4";4;4;4
"feb";"tr";"crazy";"Co4";4;4;4
"jan";"tr";"crazy";"Co4";4;4;4
"jul";"tr";"crazy";"Co4";4;4;4
"jun";"tr";"crazy";"Co4";4;4;4
"mar";"tr";"crazy";"Co4";4;4;4
"may";"tr";"crazy";"Co4";4;4;4
"nov";"tr";"crazy";"Co4";4;4;4
"oct";"tr";"crazy";"Co4";4;4;4
"sep";"tr";"crazy";"Co4";4;4;4
"apr";"hd";"month";"Co4";4;4;4
"aug";"hd";"month";"Co4";4;4;4
"dec";"hd";"month";"Co4";4;4;4
"feb";"hd";"month";"Co4";4;4;4
"jan";"hd";"month";"Co4";4;4;4
"jul";"hd";"month";"Co4";4;4;4
"jun";"hd";"month";"Co4";4;4;4
"mar";"hd";"month";"Co4";4;4;4
"may";"hd";"month";"Co4";4;4;4
"nov";"hd";"month";"Co4";4;4;4
"oct";"hd";"month";"Co4";4;4;4
"sep";"hd";"month";"Co4";4;4;4
"apr";"str";"month";"Co4";4;4;4
"aug";"str";"month";"Co4";4;4;4
"dec";"str";"month";"Co4";4;4;4
"feb";"str";"month";"Co4";4;4;4
"jan";"str";"month";"Co4";4;4;4
"jul";"str";"month";"Co4";4;4;4
"jun";"str";"month";"Co4";4;4;4
"mar";"str";"month";"Co4";4;4;4
"may";"str";"month";"Co4";4;4;4
"nov";"str";"month";"Co4";4;4;4
"oct";"str";"month";"Co4";4;4;4
"sep";"str";"month";"Co4";4;4;4
"apr";"tr";"month";"Co4";4;4;4
"aug";"tr";"month";"Co4";4;4;4
"dec";"tr";"month";"Co4";4;4;4
"feb";"tr";"month";"Co4";4;4;4
"jan";"tr";"month";"Co4";4;4;4
"jul";"tr";"month";"Co4";4;4;4
"jun";"tr";"month";"Co4";4;4;4
"mar";"tr";"month";"Co4";3;3;3
"may";"tr";"month";"Co4";4;4;4
"nov";"tr";"month";"Co4";4;4;4
"oct";"tr";"month";"Co4";4;4;4
"sep";"tr";"month";"Co4";4;4;4
"apr";"hd";"crazy";"Co5";4;4;4
"aug";"hd";"crazy";"Co5";4;4;4
"dec";"hd";"crazy";"Co5";4;4;4
"feb";"hd";"crazy";"Co5";4;4;4
"jan";"hd";"crazy";"Co5";4;4;4
"jul";"hd";"crazy";"Co5";4;4;4
"jun";"hd";"crazy";"Co5";4;4;4
"mar";"hd";"crazy";"Co5";4;4;4
"may";"hd";"crazy";"Co5";4;4;4
"nov";"hd";"crazy";"Co5";4;4;4
"oct";"hd";"crazy";"Co5";4;4;4
"sep";"hd";"crazy";"Co5";4;4;4
"apr";"str";"crazy";"Co5";4;4;4
"aug";"str";"crazy";"Co5";4;4;4
"dec";"str";"crazy";"Co5";4;4;4
"feb";"str";"crazy";"Co5";4;4;4
"jan";"str";"crazy";"Co5";4;4;4
"jul";"str";"crazy";"Co5";4;4;4
"jun";"str";"crazy";"Co5";4;4;4
"mar";"str";"crazy";"Co5";4;4;4
"may";"str";"crazy";"Co5";4;4;4
"nov";"str";"crazy";"Co5";4;4;4
"oct";"str";"crazy";"Co5";4;4;4
"sep";"str";"crazy";"Co5";4;4;4
"apr";"tr";"crazy";"Co5";4;4;4
"aug";"tr";"crazy";"Co5";4;4;4
"dec";"tr";"crazy";"Co5";4;4;4
"feb";"tr";"crazy";"Co5";4;4;4
"jan";"tr";"crazy";"Co5";4;4;4
"jul";"tr";"crazy";"Co5";4;4;4
"jun";"tr";"crazy";"Co5";4;4;4
"mar";"tr";"crazy";"Co5";4;4;4
"may";"tr";"crazy";"Co5";4;4;4
"nov";"tr";"crazy";"Co5";4;4;4
"oct";"tr";"crazy";"Co5";4;4;4
"sep";"tr";"crazy";"Co5";4;4;4
"apr";"hd";"month";"Co5";4;4;4
"aug";"hd";"month";"Co5";4;4;4
"dec";"hd";"month";"Co5";4;4;4
"feb";"hd";"month";"Co5";4;4;4
"jan";"hd";"month";"Co5";4;4;4
"jul";"hd";"month";"Co5";4;4;4
"jun";"hd";"month";"Co5";4;4;4
"mar";"hd";"month";"Co5";4;4;4
"may";"hd";"month";"Co5";4;4;4
"nov";"hd";"month";"Co5";4;4;4
"oct";"hd";"month";"Co5";4;4;4
"sep";"hd";"month";"Co5";4;4;4
"apr";"str";"month";"Co5";4;4;4
"aug";"str";"month";"Co5";4;4;4
"dec";"str";"month";"Co5";4;4;4
"feb";"str";"month";"Co5";4;4;4
"jan";"str";"month";"Co5";4;4;4
"jul";"str";"month";"Co5";4;4;4
"jun";"str";"month";"Co5";4;4;4
"mar";"str";"month";"Co5";4;4;4
"may";"str";"month";"Co5";4;4;4
"nov";"str";"month";"Co5";4;4;4
"oct";"str";"month";"Co5";4;4;4
"sep";"str";"month";"Co5";4;4;4
"apr";"tr";"month";"Co5";4;4;4
"aug";"tr";"month";"Co5";4;4;4
"dec";"tr";"month";"Co5";4;4;4
"feb";"tr";"month";"Co5";4;4;4
"jan";"tr";"month";"Co5";4;4;4
"jul";"tr";"month";"Co5";3;3;3
"jun";"tr";"month";"Co5";4;4;4
"mar";"tr";"month";"Co5";4;4;4
"may";"tr";"month";"Co5";3;3;3
"nov";"tr";"month";"Co5";4;4;4
"oct";"tr";"month";"Co5";4;4;4
"sep";"tr";"month";"Co5";4;4;4
"apr";"hd";"crazy";"Co6";4;4;4
"aug";"hd";"crazy";"Co6";4;4;4
"dec";"hd";"crazy";"Co6";4;4;4
"feb";"hd";"crazy";"Co6";4;4;4
"jan";"hd";"crazy";"Co6";4;4;4
"jul";"hd";"crazy";"Co6";4;4;4
"jun";"hd";"crazy";"Co6";4;4;4
"mar";"hd";"crazy";"Co6";4;4;4
"may";"hd";"crazy";"Co6";4;4;4
"nov";"hd";"crazy";"Co6";4;4;4
"oct";"hd";"crazy";"Co6";4;4;4
"sep";"hd";"crazy";"Co6";3;3;3
"apr";"str";"crazy";"Co6";4;4;4
"aug";"str";"crazy";"Co6";4;4;4
"dec";"str";"crazy";"Co6";4;4;4
"feb";"str";"crazy";"Co6";4;4;4
"jan";"str";"crazy";"Co6";4;4;4
"jul";"str";"crazy";"Co6";4;4;4
"jun";"str";"crazy";"Co6";4;4;4
"mar";"str";"crazy";"Co6";4;4;4
"may";"str";"crazy";"Co6";4;4;4
"nov";"str";"crazy";"Co6";4;4;4
"oct";"str";"crazy";"Co6";4;4;4
"sep";"str";"crazy";"Co6";4;4;4
"apr";"tr";"crazy";"Co6";4;4;4
"aug";"tr";"crazy";"Co6";4;4;4
"dec";"tr";"crazy";"Co6";4;4;4
"feb";"tr";"crazy";"Co6";4;4;4
"jan";"tr";"crazy";"Co6";4;4;4
"jul";"tr";"crazy";"Co6";4;4;4
"jun";"tr";"crazy";"Co6";4;4;4
"mar";"tr";"crazy";"Co6";4;4;4
"may";"tr";"crazy";"Co6";4;4;4
"nov";"tr";"crazy";"Co6";4;4;4
"oct";"tr";"crazy";"Co6";4;4;4
"sep";"tr";"crazy";"Co6";4;4;4
"apr";"hd";"month";"Co6";4;4;4
"aug";"hd";"month";"Co6";4;4;4
"dec";"hd";"month";"Co6";4;4;4
"feb";"hd";"month";"Co6";4;4;4
"jan";"hd";"month";"Co6";4;4;4
"jul";"hd";"month";"Co6";4;4;4
"jun";"hd";"month";"Co6";4;4;4
"mar";"hd";"month";"Co6";4;4;4
"may";"hd";"month";"Co6";4;4;4
"nov";"hd";"month";"Co6";4;4;4
"oct";"hd";"month";"Co6";4;4;4
"sep";"hd";"month";"Co6";4;4;4
"apr";"str";"month";"Co6";4;4;4
"aug";"str";"month";"Co6";2;2;2
"dec";"str";"month";"Co6";4;4;4
"feb";"str";"month";"Co6";3;3;3
"jan";"str";"month";"Co6";4;4;4
"jul";"str";"month";"Co6";4;4;4
"jun";"str";"month";"Co6";4;4;4
"mar";"str";"month";"Co6";4;4;4
"may";"str";"month";"Co6";4;4;4
"nov";"str";"month";"Co6";4;4;4
"oct";"str";"month";"Co6";4;4;4
"sep";"str";"month";"Co6";4;4;4
"apr";"tr";"month";"Co6";2;2;2
"aug";"tr";"month";"Co6";4;4;4
"dec";"tr";"month";"Co6";4;4;4
"feb";"tr";"month";"Co6";3;3;3
"jan";"tr";"month";"Co6";4;4;4
"jul";"tr";"month";"Co6";4;4;4
"jun";"tr";"month";"Co6";4;4;4
"mar";"tr";"month";"Co6";4;4;4
"may";"tr";"month";"Co6";4;4;4
"nov";"tr";"month";"Co6";4;4;4
"oct";"tr";"month";"Co6";3;3;3
"sep";"tr";"month";"Co6";4;4;4
"apr";"hd";"crazy";"Co7";4;4;4
"aug";"hd";"crazy";"Co7";4;4;4
"dec";"hd";"crazy";"Co7";4;4;4
"feb";"hd";"crazy";"Co7";4;4;4
"jan";"hd";"crazy";"Co7";4;4;4
"jul";"hd";"crazy";"Co7";4;4;4
"jun";"hd";"crazy";"Co7";4;4;4
"mar";"hd";"crazy";"Co7";4;4;4
"may";"hd";"crazy";"Co7";4;4;4
"nov";"hd";"crazy";"Co7";4;4;4
"oct";"hd";"crazy";"Co7";4;4;4
"sep";"hd";"crazy";"Co7";4;4;4
"apr";"str";"crazy";"Co7";4;4;4
"aug";"str";"crazy";"Co7";4;4;4
"dec";"str";"crazy";"Co7";4;4;4
"feb";"str";"crazy";"Co7";4;4;4
"jan";"str";"crazy";"Co7";4;4;4
"jul";"str";"crazy";"Co7";4;4;4
"jun";"str";"crazy";"Co7";4;4;4
"mar";"str";"crazy";"Co7";4;4;4
"may";"str";"crazy";"Co7";4;4;4
"nov";"str";"crazy";"Co7";4;4;4
"oct";"str";"crazy";"Co7";4;4;4
"sep";"str";"crazy";"Co7";4;4;4
"apr";"tr";"crazy";"Co7";4;4;4
"aug";"tr";"crazy";"Co7";4;4;4
"dec";"tr";"crazy";"Co7";4;4;4
"feb";"tr";"crazy";"Co7";4;4;4
"jan";"tr";"crazy";"Co7";4;4;4
"jul";"tr";"crazy";"Co7";4;4;4
"jun";"tr";"crazy";"Co7";4;4;4
"mar";"tr";"crazy";"Co7";4;4;4
"may";"tr";"crazy";"Co7";4;4;4
"nov";"tr";"crazy";"Co7";4;4;4
"oct";"tr";"crazy";"Co7";4;4;4
"sep";"tr";"crazy";"Co7";4;4;4
"apr";"hd";"month";"Co7";4;4;4
"aug";"hd";"month";"Co7";4;4;4
"dec";"hd";"month";"Co7";4;4;4
"feb";"hd";"month";"Co7";4;4;4
"jan";"hd";"month";"Co7";4;4;4
"jul";"hd";"month";"Co7";4;4;4
"jun";"hd";"month";"Co7";4;4;4
"mar";"hd";"month";"Co7";4;4;4
"may";"hd";"month";"Co7";4;4;4
"nov";"hd";"month";"Co7";4;4;4
"oct";"hd";"month";"Co7";4;4;4
"sep";"hd";"month";"Co7";4;4;4
"apr";"str";"month";"Co7";4;4;4
"aug";"str";"month";"Co7";4;4;4
"dec";"str";"month";"Co7";4;4;4
"feb";"str";"month";"Co7";4;4;4
"jan";"str";"month";"Co7";4;4;4
"jul";"str";"month";"Co7";4;4;4
"jun";"str";"month";"Co7";4;4;4
"mar";"str";"month";"Co7";4;4;4
"may";"str";"month";"Co7";4;4;4
"nov";"str";"month";"Co7";4;4;4
"oct";"str";"month";"Co7";4;4;4
"sep";"str";"month";"Co7";4;4;4
"apr";"tr";"month";"Co7";3;3;3
"aug";"tr";"month";"Co7";4;4;4
"dec";"tr";"month";"Co7";4;4;4
